學校代碼,學校名稱,日間∕進修別,教師學歷,一般教師(含客座及講座)-教授-男,一般教師(含客座及講座)-教授-女,一般教師(含客座及講座)-副教授-男,一般教師(含客座及講座)-副教授-女,一般教師(含客座及講座)-助理教授-男,一般教師(含客座及講座)-助理教授-女,一般教師(含客座及講座)-講師-男,一般教師(含客座及講座)-講師-女,專業技術人員及教師-教授-男,專業技術人員及教師-教授-女,專業技術人員及教師-副教授-男,專業技術人員及教師-副教授-女,專業技術人員及教師-助理教授-男,專業技術人員及教師-助理教授-女,專業技術人員及教師-講師-男,專業技術人員及教師-講師-女,專案教學人員-教授-男,專案教學人員-教授-女,專案教學人員-副教授-男,專案教學人員-副教授-女,專案教學人員-助理教授-男,專案教學人員-助理教授-女,專案教學人員-講師-男,專案教學人員-講師-女,其他教師-教官-男,其他教師-教官-女,其他教師-護理教師-男,其他教師-護理教師-女,其他教師-護理臨床指導教師-男,其他教師-護理臨床指導教師-女,其他教師-運動教練-男,其他教師-運動教練-女,其他教師-助教-男,其他教師-助教-女,縣市名稱,體系別
1007,逢甲大學,日,其他,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
1008,靜宜大學,日,博士,52,23,69,56,43,33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21,17,0,0,0,0,0,0,0,0,0,0,0,0,06 臺中市,1 一般
1008,靜宜大學,日,碩士,4,2,7,0,3,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,1,0,0,0,0,0,0,0,0,06 臺中市,1 一般
1008,靜宜大學,日,學士,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,06 臺中市,1 一般
1009,長庚大學,日,博士,126,45,104,40,80,64,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1009,長庚大學,日,碩士,0,2,1,2,13,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1009,長庚大學,日,學士,16,3,24,2,24,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1010,元智大學,日,博士,73,13,65,35,59,35,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1010,元智大學,日,碩士,1,0,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1010,元智大學,日,學士,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
1011,中華大學,日,博士,45,13,50,25,28,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
1011,中華大學,日,碩士,1,1,3,3,2,2,6,18,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,18 新竹市,1 一般
1011,中華大學,日,學士,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
1012,大葉大學,日,博士,44,7,58,29,39,26,0,0,0,0,0,0,1,0,0,0,3,0,0,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
1012,大葉大學,日,碩士,0,0,7,10,12,8,1,0,0,0,6,1,7,1,0,0,0,0,0,0,0,0,8,13,6,1,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
1012,大葉大學,日,學士,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
1012,大葉大學,日,專科,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
1012,大葉大學,日,其他,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
