學年度,學期（上學期為1；下學期為2）,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次男,修讀雙主修人次女
106,1,公立,一般大學,7,國立交通大學,3211015,傳播與科技學系,學士班(日間),2,3
106,1,公立,一般大學,7,國立交通大學,4121020,資訊管理與財務金融學系,學士班(日間),0,3
106,1,公立,一般大學,7,國立交通大學,4131018,管理科學系,學士班(日間),5,13
106,1,公立,一般大學,7,國立交通大學,5121028,生物科技學系,學士班(日間),16,7
106,1,公立,一般大學,7,國立交通大學,5311036,應用化學系,學士班(日間),17,6
106,1,公立,一般大學,7,國立交通大學,5331041,電子物理學系,學士班(日間),20,2
106,1,公立,一般大學,7,國立交通大學,5411045,應用數學系,學士班(日間),15,5
106,1,公立,一般大學,7,國立交通大學,6131058,資訊工程學系,學士班(日間),4,1
106,1,公立,一般大學,7,國立交通大學,7141050,電機工程學系,學士班(日間),1,0
106,1,公立,一般大學,7,國立交通大學,7141051,電子工程學系,學士班(日間),3,0
106,1,公立,一般大學,7,國立交通大學,7141055,光電工程學系,學士班(日間),7,1
106,1,公立,一般大學,7,國立交通大學,7151070,機械工程學系,學士班(日間),7,0
106,1,公立,一般大學,7,國立交通大學,7191075,工業工程與管理學系,學士班(日間),9,5
106,1,公立,一般大學,7,國立交通大學,7321071,土木工程學系,學士班(日間),4,1
106,1,公立,一般大學,7,國立交通大學,10411086,運輸與物流管理學系,學士班(日間),0,1
106,1,公立,一般大學,8,國立中央大學,2311007,英美語文學系,學士班(日間),3,9
106,1,公立,一般大學,8,國立中央大學,2311008,法國語文學系,學士班(日間),2,7
106,1,公立,一般大學,8,國立中央大學,2322006,中國文學系,學士班(日間),0,3
106,1,公立,一般大學,8,國立中央大學,3111013,經濟學系,學士班(日間),3,11
106,1,公立,一般大學,8,國立中央大學,3199020,客家語文暨社會科學學系,學士班(日間),0,2
106,1,公立,一般大學,8,國立中央大學,4121024,財務金融學系,學士班(日間),0,3
106,1,公立,一般大學,8,國立中央大學,4131023,企業管理學系,學士班(日間),11,15
106,1,公立,一般大學,8,國立中央大學,5111031,生命科學系,學士班(日間),4,0
106,1,公立,一般大學,8,國立中央大學,5311035,化學學系,學士班(日間),1,0
106,1,公立,一般大學,8,國立中央大學,5321036,地球科學學系,學士班(日間),3,1
106,1,公立,一般大學,8,國立中央大學,5322044,大氣科學學系,學士班(日間),3,0
106,1,公立,一般大學,8,國立中央大學,5331042,物理學系,學士班(日間),1,0
106,1,公立,一般大學,8,國立中央大學,5399050,理學院學士班,學士班(日間),1,0
106,1,公立,一般大學,8,國立中央大學,5411051,數學系,學士班(日間),11,2
106,1,公立,一般大學,8,國立中央大學,6131053,資訊管理學系,學士班(日間),14,14
106,1,公立,一般大學,8,國立中央大學,6131059,資訊工程學系,學士班(日間),0,1
106,1,公立,一般大學,8,國立中央大學,7141055,電機工程學系,學士班(日間),1,1
106,1,公立,一般大學,8,國立中央大學,7141060,通訊工程學系,學士班(日間),1,1
106,1,公立,一般大學,8,國立中央大學,7151064,機械工程學系,學士班(日間),7,3
106,1,公立,一般大學,8,國立中央大學,7321067,土木工程學系,學士班(日間),0,2
106,1,公立,一般大學,9,國立中山大學,2311006,外國語文學系,學士班(日間),0,13
106,1,公立,一般大學,9,國立中山大學,2322005,中國文學系,學士班(日間),2,10
106,1,公立,一般大學,9,國立中山大學,3141013,社會學系,學士班(日間),1,4
106,1,公立,一般大學,9,國立中山大學,4121024,財務管理學系,學士班(日間),1,1
106,1,公立,一般大學,9,國立中山大學,4131021,企業管理學系,學士班(日間),0,2
106,1,公立,一般大學,9,國立中山大學,4134010,政治經濟學系,學士班(日間),7,2
106,1,公立,一般大學,9,國立中山大學,5111033,生物科學系,學士班(日間),0,1
106,1,公立,一般大學,9,國立中山大學,5323047,海洋科學系,學士班(日間),1,0
106,1,公立,一般大學,9,國立中山大學,5331038,物理學系,學士班(日間),1,0
106,1,公立,一般大學,9,國立中山大學,5411051,應用數學系,學士班(日間),0,2
106,1,公立,一般大學,9,國立中山大學,6131052,資訊管理學系,學士班(日間),2,0
106,1,公立,一般大學,9,國立中山大學,7122065,海洋環境及工程學系,學士班(日間),2,1
106,1,公立,一般大學,9,國立中山大學,7141055,資訊工程學系,學士班(日間),2,0
106,1,公立,一般大學,9,國立中山大學,7151061,機械與機電工程學系,學士班(日間),1,0
106,1,公立,一般大學,12,國立臺灣海洋大學,2122005,海洋文創設計產業學士學位學程,學士班(日間),0,1
106,1,公立,一般大學,12,國立臺灣海洋大學,4199055,海洋觀光管理學士學位學程,學士班(日間),4,6
106,1,公立,一般大學,12,國立臺灣海洋大學,4212010,海洋法政學士學位學程,學士班(日間),0,1
106,1,公立,一般大學,12,國立臺灣海洋大學,5121014,生命科學暨生物科技學系,學士班(日間),1,0
106,1,公立,一般大學,12,國立臺灣海洋大學,5323020,海洋環境資訊系,學士班(日間),4,0
106,1,公立,一般大學,12,國立臺灣海洋大學,6131028,資訊工程學系,學士班(日間),2,1
106,1,公立,一般大學,12,國立臺灣海洋大學,7122040,河海工程學系,學士班(日間),1,0
106,1,公立,一般大學,12,國立臺灣海洋大學,7141025,電機工程學系,學士班(日間),1,0
106,1,公立,一般大學,12,國立臺灣海洋大學,7163035,輪機工程學系,學士班(日間),0,2
106,1,公立,一般大學,12,國立臺灣海洋大學,7211042,食品科學系,學士班(日間),0,1
106,1,公立,一般大學,12,國立臺灣海洋大學,8311045,環境生物與漁業科學學系,學士班(日間),3,3
106,1,公立,一般大學,12,國立臺灣海洋大學,8312046,水產養殖學系,學士班(日間),1,2
106,1,公立,一般大學,12,國立臺灣海洋大學,10411050,運輸科學系,學士班(日間),0,2
106,1,公立,一般大學,12,國立臺灣海洋大學,10412048,航運管理學系,學士班(日間),3,1
106,1,公立,一般大學,13,國立中正大學,1112005,成人及繼續教育學系,學士班(日間),5,17
106,1,公立,一般大學,13,國立中正大學,2221015,歷史學系,學士班(日間),11,21
106,1,公立,一般大學,13,國立中正大學,2231016,哲學系,學士班(日間),20,47
106,1,公立,一般大學,13,國立中正大學,2311012,外國語文學系,學士班(日間),3,25
106,1,公立,一般大學,13,國立中正大學,2322011,中國文學系,學士班(日間),1,19
106,1,公立,一般大學,13,國立中正大學,3111017,經濟學系,學士班(日間),4,11
106,1,公立,一般大學,13,國立中正大學,3121018,政治學系,學士班(日間),12,14
106,1,公立,一般大學,13,國立中正大學,3131019,心理學系,學士班(日間),3,8
106,1,公立,一般大學,13,國立中正大學,3199025,勞工關係學系,學士班(日間),3,17
106,1,公立,一般大學,13,國立中正大學,3199026,犯罪防治學系,學士班(日間),4,9
106,1,公立,一般大學,13,國立中正大學,3211028,傳播學系,學士班(日間),6,8
106,1,公立,一般大學,13,國立中正大學,4111032,會計與資訊科技學系,學士班(日間),0,5
106,1,公立,一般大學,13,國立中正大學,4121034,財務金融學系,學士班(日間),3,1
106,1,公立,一般大學,13,國立中正大學,4131033,企業管理學系,學士班(日間),5,10
106,1,公立,一般大學,13,國立中正大學,4211039,法律學系,學士班(日間),2,6
106,1,公立,一般大學,13,國立中正大學,4212040,財經法律學系,學士班(日間),1,0
106,1,公立,一般大學,13,國立中正大學,5121075,生物醫學科學系,學士班(日間),6,0
106,1,公立,一般大學,13,國立中正大學,5321047,地球與環境科學系,學士班(日間),2,0
106,1,公立,一般大學,13,國立中正大學,5331067,物理學系,學士班(日間),5,0
106,1,公立,一般大學,13,國立中正大學,5411049,數學系,學士班(日間),6,2
106,1,公立,一般大學,13,國立中正大學,6131053,資訊管理學系,學士班(日間),2,0
106,1,公立,一般大學,13,國立中正大學,7141054,電機工程學系,學士班(日間),3,0
106,1,公立,一般大學,13,國立中正大學,7141056,通訊工程學系,學士班(日間),1,0
106,1,公立,一般大學,13,國立中正大學,7151058,機械工程學系,學士班(日間),1,0
106,1,公立,一般大學,13,國立中正大學,9231063,社會福利學系,學士班(日間),4,10
